,Age,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,NRM_Height,NRM_Weight,Preferred Foot_Right,International Reputation_2,International Reputation_3,International Reputation_4,International Reputation_5,Weak Foot_2,Weak Foot_3,Weak Foot_4,Weak Foot_5,Skill Moves_2,Skill Moves_3,Skill Moves_4,Skill Moves_5,Asia,Cannot Find,Europe,North America,Oceania,South America,Allsvenskan,Bundesliga,Bundesliga 2,CSL,Calcio B,Camp. Scotiabank,Domino’s Ligue 2,EFL Championship,EFL League One,EFL League Two,Ekstraklasa,Eliteserien,Eredivisie,Hyundai A-League,K-League 1,LIGA Bancomer MX,LaLiga 1 I 2 I 3,LaLiga Santander,Liga Dimayor,Liga NOS,Liga do Brasil,Ligue 1 Conforama,MLS,Meiji Yasuda J1,Premier League,Pro League,RSL,Rest of World,SAF,SSE Airtricity Lge,Saudi Professional League,Scottish Prem,Serie A TIM,Super Lig,Superliga,NRM_Position_ATT,NRM_Position_DEF,NRM_Position_GK,NRM_Position_MID,2019,2020,2021,2022,2023,2024,2025,2026,High-Low,High-Medium,Low-High,Low-Low,Low-Medium,Medium-High,Medium-Low,Medium-Medium,NRM_Value_Mil
8,1.4886134539984046,0.8892910406406503,0.7409854490791346,2.233431393628466,1.316523781270626,1.3078798137565615,0.403811880430238,1.4613612276449321,1.6717964735026067,1.589147867858041,1.5379286440044238,0.7628661284434012,0.7021122884511354,0.9817508717288695,2.569020099603218,0.14216922811196064,1.3694382174686903,2.3612243147815843,1.3101729300902427,1.41290978605936,0.6204518587439448,1.8544941977362837,2.0979682803079505,0.5144943668627621,0.680498029712261,1.689859231546668,2.045681088674894,2.0049276671414535,2.051729289347042,2.1369529119629576,-0.31736683334347204,-0.4963914944260259,-0.43831536139313376,-0.5513326392581036,-0.31791999740971694,0.4542272792818442,0.9650826534006228,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,51.0
9,-0.013071901851965948,-1.997429404960715,-1.7692050522944391,-2.141462735538847,-2.0163757966212437,-1.6884216911448977,-2.292213363588192,-1.8573357901738727,-1.6498948662457222,-1.7402871823481254,-2.5362839009682907,-1.446275413667297,-0.3214468357688995,0.23623598470442447,2.679506207558634,-1.0601810998416574,-1.9401958284298897,0.9238673203771163,-1.3924727365262197,1.0149397409239012,-1.8213985324127022,-1.2529077717663624,-1.3326324152194482,-1.9941555839311276,1.1770312752359005,-2.390763996995264,0.9977612365517934,-1.015949584087211,-1.6440239348754753,-1.296067486593671,3.9224170449347135,4.473488041881225,3.746729300926565,4.211026060070763,4.029971798151343,0.9000860962169932,1.6694809874647467,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,68.0
10,0.8450340157768172,0.6714253466330001,2.3290651540297627,1.888045015009994,1.6566155749330618,2.608161598902478,1.5668031621636784,1.624575835078644,2.4735840382694447,0.8057513854565901,1.8375030958406526,0.8298098115376648,0.9068241132951423,0.9817508717288695,3.121450639380297,0.9908871066674558,1.8920120141895187,1.6002706118615717,0.9330595812600387,1.4925037950864517,1.9193084497847146,1.3941383504025584,-0.36626602211313863,2.1015994377731824,1.67356452075954,2.518735824844248,2.3949877060492613,-0.6635139047772002,-0.2581164757920314,-1.2490398099011146,-0.09124502650196885,-0.6147219595761986,-0.25635689781401644,-0.4925380874145373,-0.37366219991690997,0.4542272792818442,0.6449015924623847,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,77.0
11,0.6305075363696214,2.0875523576827266,1.5606394903439749,0.10354872548122156,2.268780803525446,2.212423664292851,1.3553502018485073,2.114219657379779,2.3590429575884677,2.6336765110599756,1.8974179862078986,-0.04045806868776179,-0.18497228587289485,0.43955822662018224,3.010964531424881,0.49580167751008364,1.8339482589983154,-2.965451605658503,0.7445029068449367,0.6169696957884423,2.334942558917761,0.24324873206824496,1.7114217230654267,1.4872361845175357,2.311964407861362,1.5623397556547327,2.3076610517056695,1.2497083543342873,1.4511693904108827,1.1023440247267133,-0.3738972850538479,-0.31889579670076695,-0.19570407662097733,-0.5513326392581036,-0.37366219991690997,0.4542272792818442,0.13261189496120376,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,76.5
12,1.4886134539984046,0.29016038211961226,-0.18112534734381094,2.290995790064878,1.3845421400031133,0.23373399124471755,-0.1248205203576894,0.10123949903066784,0.4691151263523497,1.1321665864571946,1.0586095210664572,0.22731666368929251,0.22445136381511907,-0.3737307410428488,2.569020099603218,-0.7065486504435345,0.6726731551742523,2.1921234919104706,0.1788328835996306,1.8108798311948189,-0.21081635952214775,1.9120386786529993,2.0013316409973196,-0.09986888639288437,-0.099768498967744,0.09586578289747592,2.045681088674894,2.1559715297028865,1.9131385434386974,2.0428975585778444,-0.6000190918953511,-0.4963914944260259,-0.07439843423489911,-0.6689217429452361,-0.09495118738094464,0.9000860962169932,0.38875674371179425,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44.0
13,1.4886134539984046,1.8696866636750764,1.5606394903439749,0.10354872548122156,2.336799162257933,2.212423664292851,1.7782561224788493,1.8966001808014967,1.9581491752050488,2.24197826985925,2.1370775476768817,0.3612040298778197,-0.048497735976890215,1.9305880006690725,3.121450639380297,1.839604985222951,0.9629919311302682,-0.0907376168495671,0.9330595812600387,-1.0545044937804848,1.4517200770100374,0.07061528931809795,0.16523549409533156,1.9992055622305744,2.7375643325959103,1.689859231546668,3.0062742864544036,0.5951849499014099,0.2500495925385647,-0.778763042975549,-0.6000190918953511,-0.08223486640042169,-0.559621003779212,-0.6101271911016698,-0.26217779490252385,0.008368462346695284,-1.1481123487917486,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60.0
14,0.41598105696242565,0.9982238876444754,0.9971273369743971,0.10354872548122156,1.860670651130523,0.7425399071713804,1.2496237216909218,0.10123949903066784,0.35457404567137285,1.8502800286585246,1.2982690825354404,1.1645282270089827,0.9068241132951423,1.2528471942832133,3.452908963246544,1.9810579649822002,0.9049281759390649,1.0084177318126732,2.064399627750651,0.8557517228697176,1.1399944951602528,1.969583159569715,2.1946049196185813,1.0776606823471047,1.8154311623377228,0.3509047346813467,2.3076610517056695,2.1559715297028865,2.0055323740442605,1.8547868518076183,-0.09124502650196885,-0.25973056412568063,-0.37766254020009465,-0.5513326392581036,-0.37366219991690997,-0.43749035458845104,-0.44371401472762484,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,63.0
35,1.0595604951840132,2.1964852046865517,1.2532692248696597,1.3124010506458739,1.724633933665549,0.6294719258543443,1.831119362557642,2.0598147882352085,1.3854437718001646,1.52386482765792,2.0172477669423903,1.2314719101032463,1.1797732130871517,1.523943516837557,2.9004784234694654,1.5566990257044526,1.6016932382335027,0.9238673203771163,1.7501385037254809,1.0149397409239012,1.1919487588018836,1.624316274069421,1.8563766820313732,1.7944178111453588,2.028231124704997,0.6697034244111851,2.3949877060492613,1.1993604001471427,1.7283508822275715,1.9018145285001749,-0.26083638163309625,-0.6738871921512849,-0.6809266461652902,-0.6689217429452361,-0.42940440242410305,0.23129787081426975,0.6449015924623847,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,43.0
36,0.6305075363696214,2.033085934180814,2.0729232661345,1.830480618573582,1.7926522923980361,2.382025636268405,1.6725296423212639,2.3318391339580615,2.530854578609933,1.7849969884584036,1.5978435343716695,1.9678524241401456,2.0668577874111818,1.2528471942832133,2.569020099603218,0.07144273823233604,2.124267034954331,1.8539218461682427,0.7445029068449367,1.1741277589780847,2.2829882952761302,0.5309711366518233,0.6001003709931708,1.7944178111453588,1.8154311623377228,1.7536189694926358,2.3949877060492613,0.3434451789656879,0.3424434231441276,0.3028735209532519,-0.09124502650196885,-0.08223486640042169,-0.31700971900705555,-0.6689217429452361,-0.5966310099456823,0.6771566877494187,0.9650826534006228,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,60.0
37,1.274086974591209,-1.997429404960715,-1.8204334298734919,-2.429284717720907,-0.5879902632390137,-1.801489672461934,-2.3979398437457773,-1.966145528463014,-1.8789770276076758,-0.17349421754522357,-1.4578158743578662,0.026485614406501785,-0.18497228587289485,-0.5770529829586065,2.569020099603218,-0.7065486504435345,-1.8821320732386866,0.7547664975060023,-1.3924727365262197,-1.7708505750243109,-1.7174900051294406,-1.4255412145165094,-0.9460858579769243,-2.0453525217024313,-1.660301556327754,-0.5417315965622009,0.5611279648338345,-0.9152536757129223,-1.7364177654810382,-1.296067486593671,4.035477948355465,4.000166181280535,3.140201088996174,3.917053300852932,4.197198405672922,0.9000860962169932,0.9650826534006228,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,36.0
38,1.0595604951840132,0.9982238876444754,2.380293531608815,1.600223032827934,1.1124687050731648,2.6646955895609956,1.5139399220848857,1.4613612276449321,1.0990910700977223,0.4140531442558646,1.5978435343716695,0.5620350791606105,0.5656377385551307,0.7784286298131118,2.679506207558634,0.35434869775083444,1.7758845038071123,1.1775185546837872,0.43024178281976666,1.5720978041135436,1.7114913952181914,-0.33219607709891175,-1.2843140955641326,2.152796375544486,1.460764558392266,1.3710605418168296,2.3949877060492613,-0.6131659505900559,-1.1820547818476608,-1.296067486593671,-0.6565495436057269,-0.25973056412568063,-0.559621003779212,-0.6689217429452361,-0.37366219991690997,0.6771566877494187,1.9256258362153371,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,57.0
39,1.7031399334056005,0.562492499629175,-0.38603885766002105,1.657787429264346,1.4525604987356004,1.138277841781007,0.3509486403514453,0.7540979287655147,1.2136321507786993,1.7849969884584036,1.2982690825354404,0.3612040298778197,0.49740046360712836,0.3040100653430104,2.237561775736971,0.28362220787120984,0.9049281759390649,2.1075730804749133,0.6816506820399026,1.3333157770322683,1.088040231518622,1.1639604267356956,2.049649960652635,0.4632974290914582,1.3188979168140833,0.7334631623571528,1.9583544343313026,2.055275621328598,1.9131385434386974,1.8547868518076183,-0.4304277367642237,-0.25973056412568063,-0.6809266461652902,-0.43374353557097106,-0.37366219991690997,0.4542272792818442,0.9650826534006228,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24.0
